"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1233","영화상영관","03_13_02_P","3540000","CDFF4220001995000002","19950721","","01","영업/정상","13","영업중","","","","","","","403010","인천광역시 부평구 부평동 534-27","","","대한극장 2관","20101229112039","I","2018-08-31 23:59:59.0","","","","영화상영관","영화상영관","12","유흥업소밀집지역","","","10","2","문화시설","","","","","","","","","","","","","","","","","","","영화관","","19950721","일반상업지역",
"1234","영화상영관","03_13_02_P","3540000","CDFF4220002018000001","20180510","","01","영업/정상","13","영업중","","","","","070-7575-3191,","","","인천광역시 부평구 부평동 159-15번지 부평일번가","인천광역시 부평구 경원대로 1395, 부평일번가 6~10층 (부평동)","21395","CINE Q 부평 6관","20181228150446","U","2018-12-30 02:40:00.0","","175568.438742467","443344.91890676","영화상영관","","","기타","","","15","6","근린생활시설","","","","","","","","","","","","","","","","","","","영화관","","20180510","일반상업지역",
"1235","영화상영관","03_13_02_P","3540000","CDFF4220002018000002","20180510","","01","영업/정상","13","영업중","","","","","","","","인천광역시 부평구 부평동 159-15번지 부평일번가","인천광역시 부평구 경원대로 1395, 부평일번가 6~10층 (부평동)","21395","CINE Q 부평 GS관","20191016150814","U","2019-10-18 02:40:00.0","","175568.438742467","443344.91890676","영화상영관","","","기타","","","15","6","근린생활시설","","","","","","","","","","","","","","","","","","","영화관","","20180510","일반상업지역",
"1236","영화상영관","03_13_02_P","3520000","CDFF4220002005000009","20050629","","01","영업/정상","13","영업중","","","","","032-456-7473","","","인천광역시 연수구 청학동 496-4 연수동광장프라자 10층","인천광역시 연수구 벚꽃로 106, 8층 (청학동)","21926","CGV 연수역 8관","20220410122208","U","2022-04-12 02:40:00.0","","171347.052566196","435117.523375376","영화상영관","영화상영관","15","","","0","12","3","문화시설","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20050629","중심상업지역",
"1237","영화상영관","03_13_02_P","3520000","CDFF4220002005000010","20050629","","01","영업/정상","13","영업중","","","","","032-456-7473","","","인천광역시 연수구 청학동 496-4 연수동광장프라자 10층","인천광역시 연수구 벚꽃로 106, 8층 (청학동)","21926","CGV 연수역 9관","20220410122219","U","2022-04-12 02:40:00.0","","171347.052566196","435117.523375376","영화상영관","영화상영관","15","","","0","12","3","문화시설","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20050629","중심상업지역",
"1238","영화상영관","03_13_02_P","3520000","CDFF4220002012000001","20120924","","01","영업/정상","13","영업중","","","","","032-456-4040","","","인천광역시 연수구 동춘동 926 스퀘어원 4층","인천광역시 연수구 청능대로 210, 4층 (동춘동, 스퀘어원)","21975","CGV 인천연수 1관","20220410122638","U","2022-04-12 02:40:00.0","","171926.076708191","433811.136423145","영화상영관","","9","","","0","6","3","","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20120924","",
"1239","영화상영관","03_13_02_P","3520000","CDFF4220002012000002","20120924","","01","영업/정상","13","영업중","","","","","","","","인천광역시 연수구 동춘동 926 스퀘어원 4층","인천광역시 연수구 청능대로 210, 4층 (동춘동, 스퀘어원)","21975","CGV 인천연수 2관","20210422142007","U","2021-04-24 02:40:00.0","","171926.076708191","433811.136423145","영화상영관","","9","","","","6","3","","","","","","","","","","","","","","","","","","","","영화관","","20120924","",
"1240","영화상영관","03_13_02_P","3520000","CDFF4220002012000003","20120924","","01","영업/정상","13","영업중","","","","","","","","인천광역시 연수구 동춘동 926 스퀘어원 4층","인천광역시 연수구 청능대로 210, 4층 (동춘동, 스퀘어원)","21975","CGV 인천연수 3관","20210422142036","U","2021-04-24 02:40:00.0","","171926.076708191","433811.136423145","영화상영관","","9","","","","6","3","","","","","","","","","","","","","","","","","","","","영화관","","20120924","",
"1241","영화상영관","03_13_02_P","3520000","CDFF4220002012000004","20120924","","01","영업/정상","13","영업중","","","","","","","","인천광역시 연수구 동춘동 926 스퀘어원 4층","인천광역시 연수구 청능대로 210, 4층 (동춘동, 스퀘어원)","21975","CGV 인천연수 4관","20210422142108","U","2021-04-24 02:40:00.0","","171926.076708191","433811.136423145","영화상영관","","9","","","","6","3","","","","","","","","","","","","","","","","","","","","영화관","","20120924","",
"1242","영화상영관","03_13_02_P","3520000","CDFF4220002012000005","20120924","","01","영업/정상","13","영업중","","","","","","","","인천광역시 연수구 동춘동 926 스퀘어원 4층","인천광역시 연수구 청능대로 210, 4층 (동춘동, 스퀘어원)","21975","CGV 인천연수 5관","20210422142137","U","2021-04-24 02:40:00.0","","171926.076708191","433811.136423145","영화상영관","","9","","","","6","3","","","","","","","","","","","","","","","","","","","","영화관","","20120924","",
"1243","영화상영관","03_13_02_P","3520000","CDFF4220002012000006","20120924","","01","영업/정상","13","영업중","","","","","","","","인천광역시 연수구 동춘동 926 스퀘어원 4층","인천광역시 연수구 청능대로 210, 4층 (동춘동, 스퀘어원)","21975","CGV 인천연수 6관","20210422142205","U","2021-04-24 02:40:00.0","","171926.076708191","433811.136423145","영화상영관","","9","","","","6","3","","","","","","","","","","","","","","","","","","","","영화관","","20120924","",
"1244","영화상영관","03_13_02_P","3520000","CDFF4220002017000001","20170428","","01","영업/정상","13","영업중","","","","","","","","인천광역시 연수구 송도동 176-5 송도트리플스트리트","인천광역시 연수구 송도과학로16번길 33-4 (송도동, 송도트리플스트리트)","21984","메가박스중앙(주) 송도지점 제1관","20221020133226","U","2022-10-22 02:40:00.0","","170067.928848939","430784.623782497","영화상영관","","7","기타","","0","4","0","문화시설","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20170428","준주거지역",
"1245","영화상영관","03_13_02_P","3520000","CDFF4220002017000002","20170428","","01","영업/정상","13","영업중","","","","","","","","인천광역시 연수구 송도동 176-5 송도트리플스트리트","인천광역시 연수구 송도과학로16번길 33-4 (송도동, 송도트리플스트리트)","21984","메가박스중앙(주) 송도지점 COMFORT 제2관","20221020133247","U","2022-10-22 02:40:00.0","","170067.928848939","430784.623782497","영화상영관","","7","기타","","0","4","0","문화시설","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20170428","준주거지역",
"1246","영화상영관","03_13_02_P","3520000","CDFF4220002017000003","20170428","","01","영업/정상","13","영업중","","","","","","","","인천광역시 연수구 송도동 176-5 송도트리플스트리트","인천광역시 연수구 송도과학로16번길 33-4 (송도동, 송도트리플스트리트)","21984","메가박스중앙(주) 송도지점 제3관","20221020133256","U","2022-10-22 02:40:00.0","","170067.928848939","430784.623782497","영화상영관","","7","기타","","0","4","0","문화시설","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20170428","준주거지역",
"1247","영화상영관","03_13_02_P","3520000","CDFF4220002017000004","20170428","","01","영업/정상","13","영업중","","","","","070-7016-3571","","","인천광역시 연수구 송도동 176-5 송도트리플스트리트","인천광역시 연수구 송도과학로16번길 33-4 (송도동, 송도트리플스트리트)","21984","메가박스중앙(주) 송도지점 제4관","20221020132125","U","2022-10-22 02:40:00.0","","170067.928848939","430784.623782497","영화상영관","","7","기타","","0","4","0","문화시설","0","0","0","0","","","","","","","","","","","","0","","","영화관","","20170428","준주거지역",
"1248","영화상영관","03_13_02_P","3520000","CDFF4220002017000005","20170428","","01","영업/정상","13","영업중","","","","","","","","인천광역시 연수구 송도동 176-5 송도트리플스트리트","인천광역시 연수구 송도과학로16번길 33-4 (송도동, 송도트리플스트리트)","21984","메가박스중앙(주) 송도지점 제5관","20211223093319","U","2021-12-25 02:40:00.0","","170067.928848939","430784.623782497","영화상영관","","7","기타","","","4","","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20170428","준주거지역",
"1249","영화상영관","03_13_02_P","3520000","CDFF4220002017000007","20170428","","01","영업/정상","13","영업중","","","","","","","","인천광역시 연수구 송도동 176-5 송도트리플스트리트","인천광역시 연수구 송도과학로16번길 33-4 (송도동, 송도트리플스트리트)","21984","메가박스중앙(주) 송도지점 제7관","20211223093319","U","2021-12-25 02:40:00.0","","170067.928848939","430784.623782497","영화상영관","","7","기타","","","4","","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20170428","준주거지역",
"1250","영화상영관","03_13_02_P","3520000","CDFF4220002017000008","20170428","","01","영업/정상","13","영업중","","","","","","","","인천광역시 연수구 송도동 176-5 송도트리플스트리트","인천광역시 연수구 송도과학로16번길 33-4 (송도동, 송도트리플스트리트)","21984","메가박스중앙(주) 송도지점 제8관","20211223093320","U","2021-12-25 02:40:00.0","","170067.928848939","430784.623782497","영화상영관","","7","기타","","","4","","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20170428","준주거지역",
"1251","영화상영관","03_13_02_P","3540000","CDFF4220002006000004","20060224","","01","영업/정상","13","영업중","","","","","070-7465-3633","","","인천광역시 부평구 부평동 152-1","인천광역시 부평구 대정로 66 (부평동)","","롯데시네마 부평9 4관","20211216111650","U","2021-12-18 02:40:00.0","","175754.088026773","443547.360991255","영화상영관","영화상영관","19","유흥업소밀집지역","","","14","5","근린생활시설","","","","","","","","","","","","","","","","","","","영화관","","20060224","상업지역",
"1252","영화상영관","03_13_02_P","3540000","CDFF4220002006000005","20060224","","01","영업/정상","13","영업중","","","","","070-7465-3633","","","인천광역시 부평구 부평동 152-1","인천광역시 부평구 대정로 66 (부평동)","","롯데시네마 부평9 5관","20211216111636","U","2021-12-18 02:40:00.0","","175754.088026773","443547.360991255","영화상영관","영화상영관","19","유흥업소밀집지역","","","14","5","근린생활시설","","","","","","","","","","","","","","","","","","","영화관","","20060224","상업지역",
"1253","영화상영관","03_13_02_P","3540000","CDFF4220002006000006","20060224","","01","영업/정상","13","영업중","","","","","070-7465-3633","","","인천광역시 부평구 부평동 152-1","인천광역시 부평구 대정로 66 (부평동)","","롯데시네마 부평9 6관","20211216111624","U","2021-12-18 02:40:00.0","","175754.088026773","443547.360991255","영화상영관","영화상영관","19","유흥업소밀집지역","","","14","5","근린생활시설","","","","","","","","","","","","","","","","","","","영화관","","20060224","상업지역",
"1254","영화상영관","03_13_02_P","3540000","CDFF4220002006000007","20060224","","01","영업/정상","13","영업중","","","","","070-7465-3633","","","인천광역시 부평구 부평동 152-1","인천광역시 부평구 대정로 66 (부평동)","","롯데시네마 부평9 7관","20211216111416","U","2021-12-18 02:40:00.0","","175754.088026773","443547.360991255","영화상영관","영화상영관","19","유흥업소밀집지역","","","14","5","근린생활시설","","","","","","","","","","","","","","","","","","","영화관","","20060224","상업지역",
"1255","영화상영관","03_13_02_P","3540000","CDFF4220002006000008","20060224","","01","영업/정상","13","영업중","","","","","070-7465-3633","","","인천광역시 부평구 부평동 152-1","인천광역시 부평구 대정로 66 (부평동)","","롯데시네마 부평9 8관","20211216111347","U","2021-12-18 02:40:00.0","","175754.088026773","443547.360991255","영화상영관","영화상영관","19","유흥업소밀집지역","","","14","5","근린생활시설","","","","","","","","","","","","","","","","","","","영화관","","20060224","상업지역",
"1256","영화상영관","03_13_02_P","3540000","CDFF4220002018000003","20180510","","01","영업/정상","13","영업중","","","","","070-7575-3191,","","","인천광역시 부평구 부평동 159-15번지 부평일번가","인천광역시 부평구 경원대로 1395, 부평일번가 6~10층 (부평동)","21395","CINE Q 부평 2관","20181228150703","U","2018-12-30 02:40:00.0","","175568.438742467","443344.91890676","영화상영관","","","기타","","","15","6","근린생활시설","","","","","","","","","","","","","","","","","","","영화관","","20180510","일반상업지역",
"1257","영화상영관","03_13_02_P","3540000","CDFF4220002018000004","20180510","","01","영업/정상","13","영업중","","","","","","","","인천광역시 부평구 부평동 159-15번지 부평일번가","인천광역시 부평구 경원대로 1395, 부평일번가 6~10층 (부평동)","21395","CINE Q 부평 3관","20181228150732","U","2018-12-30 02:40:00.0","","175568.438742467","443344.91890676","영화상영관","","","기타","","","15","6","근린생활시설","","","","","","","","","","","","","","","","","","","영화관","","20180510","일반상업지역",
"1258","영화상영관","03_13_02_P","3540000","CDFF4220002003000001","20030428","","01","영업/정상","13","영업중","","","","","032-270-2700","","","인천광역시 부평구 청천동 386번지","인천광역시 부평구 마장로 489, 3-7층 (청천동)","21302","아이즈빌씨지브이부평10 1관","20150610112432","I","2018-08-31 23:59:59.0","","173718.604764279","446665.064392477","영화상영관","영화상영관","7","주택가주변","","","7","","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20030428","준공업지역",
"1259","영화상영관","03_13_02_P","3540000","CDFF4220002003000002","20030428","","01","영업/정상","13","영업중","","","","","032-270-2700","","","인천광역시 부평구 청천동 386번지 386","인천광역시 부평구 마장로 489 (청천동)","21302","아이즈빌씨지브이부평10 2관","20190502115348","U","2019-05-04 02:40:00.0","","173718.604764279","446665.064392477","영화상영관","영화상영관","7","주택가주변","","","","","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20030428","준공업지역",
"1260","영화상영관","03_13_02_P","3540000","CDFF4220002003000003","20030428","","01","영업/정상","13","영업중","","","","","032-270-2700","","403858","인천광역시 부평구 청천동 386번지 386","인천광역시 부평구 마장로 489 (청천동)","21302","아이즈빌씨지브이부평10 3관","20150610133512","I","2018-08-31 23:59:59.0","","173718.604764279","446665.064392477","영화상영관","영화상영관","7","주택가주변","","","","","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20030428","준공업지역",
"1261","영화상영관","03_13_02_P","3540000","CDFF4220002003000004","20030428","","01","영업/정상","13","영업중","","","","","032-270-2700","","","인천광역시 부평구 청천동 386번지","인천광역시 부평구 마장로 489 (청천동)","21302","아이즈빌씨지브이부평10 4관","20150610113837","I","2018-08-31 23:59:59.0","","173718.604764279","446665.064392477","영화상영관","영화상영관","7","주택가주변","","","7","","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20030428","준공업지역",
"1262","영화상영관","03_13_02_P","3540000","CDFF4220002003000005","20030428","","01","영업/정상","13","영업중","","","","","032-270-2700","","","인천광역시 부평구 청천동 386번지","인천광역시 부평구 마장로 489 (청천동)","21302","아이즈빌씨지브이부평10 5관","20150610113940","I","2018-08-31 23:59:59.0","","173718.604764279","446665.064392477","영화상영관","영화상영관","7","주택가주변","","","7","","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20030428","준공업지역",
"1263","영화상영관","03_13_02_P","3540000","CDFF4220002003000006","20030428","","01","영업/정상","13","영업중","","","","","032-270-2700","","403858","인천광역시 부평구 청천동 386번지 386","인천광역시 부평구 마장로 489 (청천동)","21302","아이즈빌씨지브이부평10 6관","20150610133623","I","2018-08-31 23:59:59.0","","173718.604764279","446665.064392477","영화상영관","영화상영관","7","주택가주변","","","7","","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20030428","준공업지역",
"1264","영화상영관","03_13_02_P","3540000","CDFF4220002003000007","20030428","","01","영업/정상","13","영업중","","","","","032-270-2700","","","인천광역시 부평구 청천동 386번지 386","인천광역시 부평구 마장로 489 (청천동)","21302","아이즈빌씨지브이부평10 7관","20190502112814","U","2019-05-04 02:40:00.0","","173718.604764279","446665.064392477","영화상영관","영화상영관","7","주택가주변","","","7","","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20030428","준공업지역",
"1265","영화상영관","03_13_02_P","3540000","CDFF4220002003000008","20030428","","01","영업/정상","13","영업중","","","","","032-270-2700","","403858","인천광역시 부평구 청천동 386번지 386","인천광역시 부평구 마장로 489 (청천동)","21302","아이즈빌씨지브이부평10 8관","20150610134113","I","2018-08-31 23:59:59.0","","173718.604764279","446665.064392477","영화상영관","영화상영관","7","주택가주변","","","7","","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20030428","준공업지역",
"1266","영화상영관","03_13_02_P","3540000","CDFF4220002003000009","20030428","","01","영업/정상","13","영업중","","","","","032-270-2700","","403858","인천광역시 부평구 청천동 386번지 386","인천광역시 부평구 마장로 489 (청천동)","21302","아이즈빌씨지브이부평10 9관","20150610134332","I","2018-08-31 23:59:59.0","","173718.604764279","446665.064392477","영화상영관","영화상영관","7","주택가주변","","","7","","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20030428","준공업지역",
"1267","영화상영관","03_13_02_P","3540000","CDFF4220002003000010","20030428","","01","영업/정상","13","영업중","","","","","032-270-2700","","403858","인천광역시 부평구 청천동 386번지 386","인천광역시 부평구 마장로 489 (청천동)","21302","아이즈빌씨지브이부평10 10관","20150610134459","I","2018-08-31 23:59:59.0","","173718.604764279","446665.064392477","영화상영관","영화상영관","7","주택가주변","","","7","","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20030428","준공업지역",
"1268","영화상영관","03_13_02_P","3540000","CDFF4220002006000001","20060224","","01","영업/정상","13","영업중","","","","","070-7465-3633","","","인천광역시 부평구 부평동 152-1","인천광역시 부평구 대정로 66 (부평동)","","롯데시네마 부평9 1관","20211216111741","U","2021-12-18 02:40:00.0","","175754.088026773","443547.360991255","영화상영관","영화상영관","19","유흥업소밀집지역","","","14","5","근린생활시설","","","","","","","","","","","","","","","","","","","영화관","","20060224","상업지역",
"1269","영화상영관","03_13_02_P","3540000","CDFF4220002006000002","20060224","","01","영업/정상","13","영업중","","","","","070-7465-3633","","","인천광역시 부평구 부평동 152-1","인천광역시 부평구 대정로 66 (부평동)","","롯데시네마 부평9 2관","20211216111713","U","2021-12-18 02:40:00.0","","175754.088026773","443547.360991255","영화상영관","영화상영관","19","유흥업소밀집지역","","","14","5","근린생활시설","","","","","","","","","","","","","","","","","","","영화관","","20060224","상업지역",
"1270","영화상영관","03_13_02_P","3540000","CDFF4220002006000003","20060224","","01","영업/정상","13","영업중","","","","","070-7465-3633","","","인천광역시 부평구 부평동 152-1","인천광역시 부평구 대정로 66 (부평동)","","롯데시네마 부평9 3관","20211216111701","U","2021-12-18 02:40:00.0","","175754.088026773","443547.360991255","영화상영관","영화상영관","19","유흥업소밀집지역","","","14","5","근린생활시설","","","","","","","","","","","","","","","","","","","영화관","","20060224","상업지역",
"1271","영화상영관","03_13_02_P","5000000","CDFF4220002017000001","20191206","","01","영업/정상","13","영업중","","","","","061-544-7790","","","전라남도 진도군 진도읍 동외리 1132-2번지 아리랑시네마","전라남도 진도군 진도읍 동외1길 6-13, 아리랑시네마","58926","진도아리랑 시네마 1관","20191209095249","U","2019-12-11 02:40:00.0","","132944.734406","109400.271291","영화상영관","","1","기타","","","1","","문화시설","2.1","","","","","","","","","","","","","","","","","","영화관","","20191206","녹지지역",
"1272","영화상영관","03_13_02_P","5000000","CDFF4220002017000002","20191206","","01","영업/정상","13","영업중","","","","","061-544-7790","","","전라남도 진도군 진도읍 동외리 1132-2번지 아리랑시네마","전라남도 진도군 진도읍 동외1길 6-13, 아리랑시네마","58926","진도아리랑 시네마 2관","20191209095404","U","2019-12-11 02:40:00.0","","132944.734406","109400.271291","영화상영관","","1","기타","","","1","","문화시설","2.1","","","","","","","","","","","","","","","","","","영화관","","20191206","녹지지역",
"1273","영화상영관","03_13_02_P","4810000","CDFF4220002015000002","20150203","","01","영업/정상","13","영업중","","","","","061-643-6000","","","전라남도 여수시 웅천동 1699-501","전라남도 여수시 웅천로 19-35 (웅천동)","59692","CGV여수웅천(제1관)","20210422134455","U","2021-04-24 02:40:00.0","","262083","139112","영화상영관","","10","기타","","","8","2","","","","","","","","","","","","","","","","","","","","영화관","","20150203","",
"1274","영화상영관","03_13_02_P","4810000","CDFF4220002015000003","20150203","","01","영업/정상","13","영업중","","","","","","","","전라남도 여수시 웅천동 1720-3","전라남도 여수시 웅천로 19-35, 501호 (웅천동)","59692","CGV여수웅천(제2관)","20210422134508","U","2021-04-24 02:40:00.0","","262077.578073","139123.012071","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20150203","",
"1275","영화상영관","03_13_02_P","4810000","CDFF4220002015000004","20150203","","01","영업/정상","13","영업중","","","","","","","","전라남도 여수시 웅천동 1720-3","전라남도 여수시 웅천로 19-35 (웅천동)","59692","CGV여수웅천(제3관)","20210422134518","U","2021-04-24 02:40:00.0","","262077.578073","139123.012071","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20150203","",
"1276","영화상영관","03_13_02_P","4810000","CDFF4220002015000005","20150203","","01","영업/정상","13","영업중","","","","","","","","전라남도 여수시 웅천동 1720-3","전라남도 여수시 웅천로 19-35 (웅천동)","59692","CGV여수웅천(제4관)","20210422134531","U","2021-04-24 02:40:00.0","","262077.578073","139123.012071","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20150203","",
"1277","영화상영관","03_13_02_P","4810000","CDFF4220002015000006","20150203","","01","영업/정상","13","영업중","","","","","","","","전라남도 여수시 웅천동 1720-3","전라남도 여수시 웅천로 19-35 (웅천동)","59692","CGV여수웅천(제5관)","20210422134548","U","2021-04-24 02:40:00.0","","262077.578073","139123.012071","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20150203","",
"1278","영화상영관","03_13_02_P","4810000","CDFF4220002009000001","20090326","","01","영업/정상","13","영업중","","","","","","","550800","전라남도 여수시 광무동 42번지","전라남도 여수시 좌수영로 69 (광무동)","59718","여수 시민회관","20131231093055","I","2018-08-31 23:59:59.0","","266583.403004","138943.377562","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20090326","",
"1279","영화상영관","03_13_02_P","4810000","CDFF4220002015000001","20150203","","01","영업/정상","13","영업중","","","","","","","","전라남도 여수시 웅천동 1720-3","전라남도 여수시 웅천로 19-35 (웅천동)","59692","CGV여수웅천(제8관)","20210422134620","U","2021-04-24 02:40:00.0","","262077.578073","139123.012071","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20150203","",
"1280","영화상영관","03_13_02_P","4830000","CDFF4220002017000001","20170928","","01","영업/정상","13","영업중","","","","","","","","전라남도 나주시 빛가람동 203-3번지 티씨씨타워 4층","","","CGV 나주점 1관","20170928183248","I","2018-08-31 23:59:59.0","","181036.23246","169457.61735","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20170928","",
"1281","영화상영관","03_13_02_P","4830000","CDFF4220002017000002","20170928","","01","영업/정상","13","영업중","","","","","","","","전라남도 나주시 빛가람동 203-3번지 티씨씨타워 4층","","","CGC 나주점 2관","20170928184306","I","2018-08-31 23:59:59.0","","181036.23246","169457.61735","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20170928","",
"1282","영화상영관","03_13_02_P","4830000","CDFF4220002017000003","20170928","","01","영업/정상","13","영업중","","","","","","","","전라남도 나주시 빛가람동 203-3번지 티씨씨타워 4층","","","CGV 나주점 3관","20170928182641","I","2018-08-31 23:59:59.0","","181036.23246","169457.61735","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20170928","",
"1283","영화상영관","03_13_02_P","4830000","CDFF4220002017000004","20170928","","01","영업/정상","13","영업중","","","","","07074057349","","","전라남도 나주시 빛가람동 203-3번지 티씨씨타워 4층","","","CGV 나주점 4관","20170928182903","I","2018-08-31 23:59:59.0","","181036.23246","169457.61735","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20170928","",
"1284","영화상영관","03_13_02_P","4830000","CDFF4220002017000005","20170928","","01","영업/정상","13","영업중","","","","","","","","전라남도 나주시 빛가람동 203-3번지 티씨씨타워 4층","","","CGV 나주점 5관","20170928183209","I","2018-08-31 23:59:59.0","","181036.23246","169457.61735","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20170928","",
"1285","영화상영관","03_13_02_P","4830000","CDFF4220002017000006","20170928","","01","영업/정상","13","영업중","","","","","","","","전라남도 나주시 빛가람동 203-3번지 티씨씨타워 4층","","","CGV 나주점 6관","20170928183451","I","2018-08-31 23:59:59.0","","181036.23246","169457.61735","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20170928","",
"1286","영화상영관","03_13_02_P","4810000","CDFF4220001998000001","19981121","","01","영업/정상","13","영업중","","","","","","","500887","광주광역시 북구 양산동 183번지","","","광주영화사","20031121142236","I","2018-08-31 23:59:59.0","","","","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","19981121","",
"1287","영화상영관","03_13_02_P","4810000","CDFF4220002000000001","20000328","","01","영업/정상","13","영업중","","","","","","","503310","광주광역시 남구 주월동 126620번지","","","호남시청각사","20040213171847","I","2018-08-31 23:59:59.0","","","","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20000328","",
"1288","영화상영관","03_13_02_P","4810000","CDFF4220002000000002","20000626","","01","영업/정상","13","영업중","","","","","690-7221","","550800","전라남도 여수시 광무동 42-4번지","전라남도 여수시 좌수영로 69 (광무동)","59718","여수시(시민회관)","20140103091432","I","2018-08-31 23:59:59.0","","266583.403004","138943.377562","영화상영관","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20000626","",
"1289","영화상영관","03_13_02_P","4810000","CDFF4220002015000008","20150203","","01","영업/정상","13","영업중","","","","","","","","전라남도 여수시 웅천동 1720-3","전라남도 여수시 웅천로 19-35 (웅천동)","59692","CGV여수웅천(제7관)","20210422134610","U","2021-04-24 02:40:00.0","","262077.578073","139123.012071","영화상영관","","","","","","","","","","","","","","","","","","","","","","","","","","","영화관","","20150203","",
"1290","영화상영관","03_13_02_P","4810000","CDFF4220002016000001","20160625","","01","영업/정상","13","영업중","","","","","061-691-6263","","","전라남도 여수시 소호동 928번지","전라남도 여수시 소호12길 67 (소호동)","59670","여수자동차극장","20191001202756","U","2019-10-03 02:40:00.0","","258801.626155","137072.404541","영화상영관","","2","","","","2","","근린생활시설","","","","","","","","","","","","","","","","","","","자동차극장","","20160625","",
"1291","영화상영관","03_13_02_P","4810000","CDFF4220002017000001","20171214","","01","영업/정상","13","영업중","","","","","061-684-6649","","","전라남도 여수시 웅천동 1720-1번지","전라남도 여수시 신월로 96 (웅천동)","59692","메가박스 여수웅천점 1관","20190718095550","U","2019-07-20 02:40:00.0","","262093.490792","139162.676418","영화상영관","","7","학교정화(상대)","","","7","4","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20171214","일반상업지역",
"1292","영화상영관","03_13_02_P","4810000","CDFF4220002017000002","20171214","","01","영업/정상","13","영업중","","","","","0616846649","","","전라남도 여수시 웅천동 1720-1번지","전라남도 여수시 신월로 96 (웅천동)","59692","메가박스 여수웅천점 2관","20190718100303","U","2019-07-20 02:40:00.0","","262093.490792","139162.676418","영화상영관","","7","학교정화(상대)","","","7","4","문화시설","","","","","","","","","","","","","","","","","","","영화관","","20171214","일반상업지역",
"1293","영화상영관","03_13_02_P","4900000","CDFF4220002003000001","20031213","","01","영업/정상","13","영업중","","","","","061-374-2366","","519832","전라남도 화순군 도곡면 천암리 814번지","","","도곡시네마","20031213102742","I","2018-08-31 23:59:59.0","","191126.91942","169469.934941","영화상영관","영화상영관","1","유흥업소밀집지역","","","1","","사무실","","","","","","","","","","","","","","","","","","","자동차극장","","20031213","일반상업지역",
